,x,y,class
苏120-72-80,4221498.34,19191082.97,
苏120-73-82,4220787.73,19192422.56,
苏120-29-89,4252363.0,18721112.0,
苏120-39-75,4247361.7,19188549.6,
苏120-69-82,4222707.81,19192097.76,
苏120-39-61,4247794.97,19179960.43,
苏120-26-80,4254776.2,18715602.4,
苏120-25-82,4255777.6,18716459.6,
苏120-49-84H,4232476.35,19232975.95,
苏120-18-91,4262290.6,18721918.2,
苏120-28-89,4253214.0,18721060.5,
苏120-30-82,4251661.8,18716728.8,
苏120-41-75,4246180.2,19188658.44,
苏120-41-78,4246181.38,19190332.12,
苏120-22-93,4259105.3,18723148.4,
苏120-42-82,4245154.58,19192549.53,
苏120-69-78,4223376.77,19190056.96,
苏120-23-84,4257468.6,18717572.2,
苏120-38-97,4248444.04,19201386.1,
苏120-38-96,4246050.1,18725565.4,
苏120-21-93,4259952.8,18723088.1,
苏120-38-90,4245881.3,18722414.4,
苏120-28-79,4255748.6,19190771.46,
苏120-21-77,4262221.86,19189615.91,
苏120-41-76C3,4246177.73,19188648.78,
苏120-38-98,4248451.85,19201379.86,
苏120-38-93,4246007.1,18723954.0,
苏120-28-90,4253253.8,18721654.9,0.0
苏120-35-81C3,4250980.76,19191592.61,1.0
苏120-41-97,4246128.37,19201444.13,2.0
苏120-35-97,4248630.2,18726219.4,
苏120-75-82,4218735.13,19192434.42,2.0
苏120-23-83,4257427.6,18716975.9,1.0
苏120-79-69,4215912.1,19184843.32,0.0
苏120-54-90,4235455.78,19197487.69,2.0
苏120-35-84C2,4247348.0,18718988.5,2.0
苏120-38-92,4245952.9,18723511.8,1.0
苏120-75-92,4218778.99,19198680.96,1.0
苏120-30-72,4251364.5,18710786.8,0.0
苏120-49-83,4239896.39,19193232.21,2.0
苏120-49-85,4239801.75,19194391.18,
苏14-11-44C5,4238521.0,19275132.0,0.0
苏14-22-49,4226367.78,19275122.63,1.0
苏14-11-14C8,4237452.46,19254290.9,0.0
苏14-02-09,4250328.07,19251804.34,1.0
苏14-6-08C11,4242181.46,19249887.61,0.0
苏14-19-28C1,4229493.0,19262584.0,1.0
苏14-2-25C5,4246817.0,19259928.0,1.0
苏14-6-08C14,4242057.0,19249730.0,0.0
苏14-21-09C3,4228423.59,19251328.34,1.0
苏14-11-52C4,4237471.07,19275961.4,1.0
苏14-2-13C1,4246008.21,19253162.05,0.0
苏14-02-09C3,4250311.94,19251704.62,2.0
苏14-2-13,4245919.0,19253114.0,1.0
苏14-15-52H1,4233348.0,19276065.0,
苏14-18-11C7,4230796.0,19251874.0,1.0
苏14-11-44C4,4237929.39,19272600.09,0.0
苏14-13-55H2,4235528.31,19277388.28,
苏14-15-03C1,4233438.33,19245853.43,0.0
苏14-15-15C2,4233480.0,19254544.0,
苏14-7-13,4240500.31,19252880.86,1.0
苏14-1-10C6,4247714.91,19251174.94,1.0
苏14-6-08C4,4241942.0,19249694.0,1.0
苏14-18-11C4,4230756.56,19251782.22,0.0
苏14-16-11C11,4232496.55,19251932.39,
苏14-22-50C2,4226271.08,19275174.78,2.0
苏14-6-06,4242119.29,19249807.26,0.0
苏14-21-09C4,4227525.38,19250021.28,2.0
苏14-22-51,4247714.91,19251174.94,0.0
苏14-3-30C11,4245239.17,19263847.64,0.0
苏14-2-25C7,4246195.83,19260077.21,2.0
苏14-21-35C2,4227278.37,19266233.78,2.0
苏14-11-14C10,4237444.21,19254285.25,0.0
苏14-18-11C6,4230718.0,19251694.0,0.0
苏14-15-03C5,4233167.26,19245542.78,1.0
苏14-2-25C3,4246245.24,19260028.05,0.0
苏14-6-08H2,4242030.86,19249813.91,
苏14-16-51,4231395.0,19276102.0,1.0
苏14-1-09A,4247909.71,19251135.35,0.0
苏14-14-53,4233445.33,19275913.3,0.0
苏14-6-08C5,4242175.37,19249879.77,0.0
苏14-19-28C3,4229488.95,19262563.72,0.0
苏14-1-11A,4247792.76,19251158.42,1.0
苏14-21-09C6,4227459.16,19249932.76,0.0
苏14-18-11C2,4230792.41,19251864.97,1.0
苏14-6-08C8,4242050.65,19249721.36,0.0
苏14-18-11,4230752.7,19251773.22,1.0
苏14-19-28C7,4229451.76,19262369.73,0.0
苏14-22-50C6,4226280.0,19275170.0,1.0
苏14-2-13C4,4245909.98,19253110.26,0.0
苏14-19-28C2,4229511.0,19262686.0,0.0
苏14-15-52C4,4233422.82,19276040.0,1.0
苏14-11-44A,4237927.44,19272609.69,0.0
苏14-6-08C10,4241936.0,19249686.0,0.0
苏14-02-10,4250329.85,19251814.33,2.0
苏14-2-25C15,4246192.0,19259936.0,
苏14-2-25C9,4247289.16,19261131.59,
苏14-14-51,4233452.03,19275906.78,1.0
苏14-18-10C5,4230721.86,19251703.96,
苏14-22-50A,4226385.16,19275113.35,1.0
苏14-6-08C1,4242071.0,19249744.0,0.0
苏14-18-42C4,4230671.0,19271336.0,1.0
苏14-22-50C4,4226280.0,19275170.0,0.0
苏14-13-14,4235507.0,19254192.0,0.0
苏14-11-14C7,4237494.91,19254319.45,0.0
苏14-19-28,4229491.0,19262574.0,1.0
苏14-19-28C6,4229451.76,19262360.0,0.0
苏14-9-39,4239086.0,19269090.0,0.0
苏14-19-28C11,4229470.0,19262468.0,1.0
苏14-18-42C1,4230658.0,19271532.0,0.0
苏14-18-42,4230665.0,19271434.0,0.0
苏14-5-20,4242819.0,19258132.0,0.0
苏14-21-35C1,4227286.0,19266240.0,1.0
苏14-2-25C11,4246250.0,19260036.0,2.0
苏14-02-08,4250312.96,19251714.77,0.0
苏14-9-40C1,4239188.0,19269160.0,1.0
苏14-16-11C9,4233711.81,19253010.48,
苏14-14-37,4234440.0,19267926.0,2.0
苏14-14-37C10,4234239.0,19267912.0,2.0
苏14-18-42C6,4230672.0,19271320.0,0.0
苏14-19-28C4,4229509.0,19262676.0,0.0
苏14-14-50,4233458.51,19275900.42,0.0
苏14-7-36,4240893.0,19267992.0,2.0
苏14-1-16C7,4248063.0,19255272.0,0.0
苏14-11-43A,4237933.0,19272580.0,
苏14-9-38,4239080.0,19269086.0,1.0
苏14-20-25C3,4228787.0,19260290.0,2.0
苏14-14-37C8,4234366.0,19267918.0,1.0
苏14-02-09C4,4250326.0,19251794.0,1.0
苏14-2-14C5,4245972.0,19254102.0,1.0
苏14-1-14,4247980.9,19255202.0,1.0
苏14-18-42C3,4230665.0,19271426.0,1.0
苏14-1-16C1,4248134.0,19255342.0,1.0
苏14-18-42C2,4230659.0,19271524.0,1.0
苏14-7-35,4240872.0,19267874.0,1.0
苏14-19-26,4229448.0,19262350.0,0.0
苏14-22-50C1,4226393.0,19275218.0,2.0
苏14-5-37,4243171.0,19267874.0,1.0
苏14-7-32C4,4240876.0,19264594.0,1.0
苏14-22-50C8,4226189.0,19275222.0,0.0
苏14-2-42C5,4246164.0,19270924.0,0.0
苏14-19-28C9,4229486.92,19262554.52,
苏14-19-28C5,4229468.0,19262458.0,1.0
苏14-6-44,4242159.0,19272056.0,1.0
苏14-2-14C1,4246056.0,19254160.0,1.0
苏14-13-14C6,4235500.0,19254196.0,1.0
苏14-03-31,4252197.0,19264934.0,
苏14-14-37C4,4234231.51,19267911.13,
苏14-02-34C1,4250358.56,19266230.34,
苏14-6-42A,4242201.0,19271952.0,1.0
苏14-21-35C3,4250311.36,19251695.49,0.0
苏14-2-39,4246159.0,19271033.0,1.0
苏14-1-16C6,4248057.0,19255266.0,1.0
苏14-18-42C10,4230671.0,19271328.0,1.0
苏14-1-30C1,4247738.37,19263982.48,0.0
苏14-1-15,4247974.0,19255198.0,0.0
苏14-02-09C7,4227346.49,19266292.71,0.0
苏14-20-25C6,4228794.0,19260286.0,2.0
苏14-18-43,4230660.0,19271516.0,2.0
苏14-02-37C1,4251615.0,19267934.0,2.0
苏14-20-25C1,4228701.0,19260342.0,1.0
苏14-02-37C3,4251706.0,19267878.0,1.0
苏14-14-37C5,4234834.02,19267926.0,1.0
苏14-5-37C1,4243173.0,19267974.0,0.0
苏14-1-17A,4248128.0,19255336.0,
苏14-18-42C8,4230666.0,19271418.0,1.0
苏14-14-37C1,4234328.0,19267918.0,2.0
苏14-20-26,4228615.0,19260392.0,1.0
苏14-22-48,4226389.0,19275212.0,0.0
苏14-02-09C5,4250325.0,19251784.0,0.0
苏14-14-37C6,4234223.0,19267910.0,1.0
苏14-6-44C1,4242152.0,19272060.0,1.0
苏14-22-50C10,4226198.0,19275216.0,2.0
苏14-1-16C8,4248051.0,19255260.0,1.0
苏14-2-14C4,4245966.0,19254098.0,2.0
苏14-19-22C5,4229825.0,19259122.0,0.0
苏14-6-44C4,4242076.0,19272114.0,0.0
苏14-4-14C1,4244623.45,19254347.0,0.0
苏14-01-37C5,4249882.0,19268024.0,1.0
苏14-2-42C4,4246164.0,19270932.0,1.0
苏14-5-37C5,4243171.0,19267866.0,2.0
苏14-2-22C5,4246024.0,19257960.0,1.0
苏14-17-17C2,4231466.0,19257206.0,0.0
苏14-1-16C10,4247968.0,19255192.0,1.0
苏14-1-30,4247743.0,19263974.0,0.0
苏14-4-42C4,4244526.0,19270956.0,1.0
苏14-6-43,4242208.0,19271948.0,1.0
苏14-02-34C8,4250359.0,19266238.0,1.0
苏14-2-40,4246817.0,19271605.0,0.0
苏14-17-20C3,4231490.0,19257498.0,0.0
苏14-7-30,4240883.0,19264598.0,
苏14-7-33,4240977.0,19264658.0,2.0
苏14-02-37C5,4251699.0,19267884.0,2.0
苏14-03-32C8,4252195.0,19264942.0,1.0
苏14-9-39H2,4239093.0,19269094.0,
苏14-1-16,4232405.88,19255304.33,0.0
苏14-9-40H2,4239172.2,19269150.09,
苏14-21-35C4,4226169.6,19266654.4,2.0
苏14-17-20C4,4231480.0,19257398.0,0.0
苏14-17-20C6,4231473.0,19257284.0,1.0
苏14-19-22C3,4229841.0,19259198.0,0.0
苏14-2-42C3,4246167.0,19271030.0,1.0
苏14-03-34C5,4251655.0,19266400.0,0.0
苏14-20-25C4,4228801.0,19260282.0,1.0
苏14-13-14C4,4235535.0,19254258.0,0.0
苏14-03-38,4251609.0,19267938.0,2.0
苏14-02-34C10,4250402.0,19266344.0,1.0
苏14-17-17C1,4231538.0,19255950.0,1.0
苏14-2-22C3,4245949.0,19258026.0,0.0
苏14-14-37C12,4234215.0,19267908.0,1.0
苏14-14-37C2,4234320.0,19267918.0,2.0
苏14-20-25C2,4228622.0,19260388.0,1.0
苏14-1-26,4248006.0,19260806.0,1.0
苏14-6-44C6,4242146.0,19272066.0,1.0
苏14-22-50C3,4226454.0,19275190.0,0.0
苏14-7-39H1,4240898.65,19268010.47,
苏14-14-37C3,4234425.0,19267924.0,2.0
苏14-20-25,4228708.0,19260338.0,0.0
苏14-2-14C6,4245607.55,19254096.99,2.0
苏14-9-43C4,4238819.0,19271020.0,0.0
苏14-17-18,4231444.0,19256008.0,0.0
苏14-19-22C2,4229824.0,19259114.0,1.0
苏14-2-14C3,4246049.0,19254156.0,1.0
苏14-9-43C5,4238765.0,19270928.0,0.0
苏14-5-37C3,4243173.0,19267966.0,0.0
苏14-17-17C4,4231351.0,19256064.0,1.0
苏14-4-41A,4244525.0,19270944.0,2.0
苏14-7-37H2,4240869.29,19267864.93,
苏14-02-09C6,4250323.0,19251774.0,0.0
苏14-02-34C6,4250362.0,19266246.0,1.0
苏14-4-14C6,4244624.41,19254354.97,1.0
苏14-01-37C8,4249882.0,19268014.0,0.0
苏14-1-29A,4247747.97,19263965.06,2.0
苏14-02-36,4251693.0,19267888.0,2.0
苏14-2-40C1,4235543.0,19254256.0,0.0
苏14-9-41A,4238712.0,19270838.0,0.0
苏14-1-16C3,4248226.0,19255428.0,0.0
苏14-03-32C6,4252193.58,19264950.29,
苏14-5-36,4243170.34,19267857.8,2.0
苏14-17-20C5,4231482.0,19257406.0,0.0
苏14-7-32C5,4240971.0,19264652.0,0.0
桃114,4242070.0,19272118.0,0.0
苏14-2-42C7,4246163.0,19270942.0,0.0
苏14-6-44C7,4242214.0,19271942.0,0.0
苏14-7-31,4240890.0,19264602.0,0.0
苏14-16-20,4231474.0,19257292.0,0.0
苏14-1-24,4248014.0,19260802.0,1.0
苏14-02-34C2,4250405.0,19266352.0,1.0
苏14-2-22C2,4245943.0,19258032.0,1.0
苏14-22-50C5,4226449.0,19275182.0,
苏14-02-38,4251602.0,19267942.0,0.0
桃113,4251640.61,19266386.35,0.0
苏14-17-16,4231450.0,19256004.0,1.0
苏14-13-14C2,4235543.0,19254256.0,1.0
苏14-19-22C6,4229822.32,19259106.16,0.0
苏14-4-42C3,4244524.0,19270936.0,2.0
苏14-17-17C6,4231358.0,19256060.0,1.0
苏14-1-16C5,4248220.0,19255422.0,1.0
苏14-2-22H2,4246018.0,19257965.0,
苏14-6-44C2,4242139.0,19272070.0,0.0
苏14-19-23,4229842.92,19259205.14,
苏14-4-14C8,4244614.4,19254256.07,1.0
苏14-9-43C6,4238768.8,19270934.9,2.0
苏14-02-09C1,4250321.61,19251765.16,2.0
苏14-17-17C5,4231531.0,19255954.0,0.0
苏14-01-36A,4249882.45,19268005.85,2.0
苏14-4-44C4,4244424.0,19271816.0,1.0
苏14-9-43C1,4238834.0,19271045.0,1.0
苏14-2-42C1,4246167.0,19271038.0,0.0
苏14-14-37C7,4234416.71,19267924.29,0.0
苏14-4-16,4244624.91,19254362.75,2.0
苏14-17-21A,4231492.0,19257507.0,1.0
苏14-02-34C12,4250364.62,19266253.91,0.0
苏14-4-43,4244435.38,19271710.25,1.0
苏14-9-43C7,4238717.0,19270844.0,1.0
苏14-20-24,4228715.0,19260333.0,2.0
苏14-02-37C6,4251686.0,19267892.0,2.0
苏14-03-32C4,4252191.0,19264958.0,1.0
苏14-7-32C7,4240963.91,19264648.59,0.0
苏14-9-41H2,4239180.0,19269156.0,
苏14-18-19,4231475.0,19257300.0,0.0
苏14-7-38,4240812.0,19267978.0,1.0
苏14-1-25C1,4248020.0,19260800.0,0.0
苏14-5-37C6,4243172.0,19267958.0,0.0
苏14-02-37C7,4251595.0,19267948.0,2.0
苏14-4-45,4244423.27,19271823.9,0.0
苏14-03-34C3,4251684.0,19266338.0,1.0
苏14-02-41,4251647.0,19270020.0,1.0
苏14-9-43C3,4239689.27,19270942.17,0.0
苏14-2-16,4245925.0,19254150.0,1.0
苏14-7-32C2,4240787.0,19264539.0,1.0
苏14-01-37C1,4249882.0,19268128.0,1.0
苏14-1-16C9,4248214.4,19255416.01,1.0
苏14-02-35,4250400.0,19266336.0,1.0
苏14-16-21,4231484.0,19257412.0,0.0
苏14-03-12C7,4251572.0,19252954.0,1.0
苏14-2-22C1,4245937.0,19258036.0,2.0
苏14-2-42C2,4246163.0,19270950.0,1.0
苏14-17-17C8,4231365.0,19256056.0,0.0
苏14-02-40C5,4251753.0,19270026.0,1.0
苏14-19-22C1,4229844.0,19259212.0,0.0
苏14-9-42,4238720.0,19270852.0,1.0
苏14-02-07,4250320.0,19251756.0,0.0
苏14-17-17C3,4231524.0,19255958.0,1.0
苏14-13-16,4235550.0,19254252.0,1.0
苏14-7-38H1,4240888.37,19267971.89,
苏14-4-42C2,4244595.0,19270944.0,1.0
苏14-4-44C3,4244434.0,19271718.0,0.0
苏14-0-41C1,4248829.0,19270380.0,0.0
苏14-4-14C5,4244625.67,19254370.7,1.0
苏14-6-44C9,4242230.0,19272000.0,1.0
苏14-9-44,4238776.0,19270950.0,1.0
苏14-2-15,4246042.0,19254152.0,2.0
苏14-2-43,4246167.3,19271046.26,0.0
苏14-7-37H1,4240869.29,19267864.93,
苏14-0-41C2,4248738.55,19270321.3,0.0
苏14-03-33A,4251678.68,19266332.83,0.0
苏14-2-47,4246183.78,19273224.62,0.0
苏14-02-37C8,4251589.16,19267952.7,1.0
苏14-4-15,4244614.4,19254256.07,0.0
苏14-17-20C1,4231485.0,19257420.0,0.0
苏14-1-25C3,4248105.0,19260676.0,1.0
苏14-02-39A,4251639.0,19270018.0,1.0
苏14-02-34C4,4250397.0,19266324.0,0.0
苏14-0-41C3,4248822.0,19270376.0,2.0
苏14-17-19,4231465.0,19257198.0,0.0
苏14-7-32C8,4240781.0,19264535.0,1.0
苏14-2-14C2,4245919.0,19254146.0,1.0
苏14-03-12C3,4251573.0,19252962.0,2.0
苏14-13-12C4,4235094.0,19252304.0,2.0
苏14-02-40C1,4251745.0,19270026.0,
苏14-2-40H2,4246504.0,19269664.1,
苏14-4-42C1,4244595.0,19270934.0,0.0
苏14-2-46C3,4246187.0,19273116.0,0.0
苏14-4-41,4244469.38,19269650.92,2.0
苏14-19-22C7,4229820.0,19259098.0,1.0
苏14-1-17,4248310.0,19255510.0,1.0
苏14-13-12C3,4235176.0,19252222.0,
苏14-01-37C4,4249882.0,19268120.0,2.0
苏14-2-45,4246189.0,19273012.0,1.0
苏14-4-39,4244552.0,19269506.0,0.0
苏14-2-22C4,4245863.0,19258106.0,1.0
苏14-03-32C10,4252185.0,19265082.0,1.0
苏14-4-40C2,4244399.0,19269626.0,1.0
苏14-0-39,4248815.08,19270372.16,1.0
苏14-03-34C1,4251606.0,19266464.0,1.0
苏14-1-25C4,4248098.0,19260678.0,0.0
苏14-6-52C1,4242043.0,19275936.0,2.0
苏14-5-18C6,4243330.0,19256758.0,
苏14-02-40C4,4251630.0,19270018.0,2.0
苏14-1-47,4246184.0,19273234.0,0.0
苏14-4-35C6,4244517.0,19266296.0,0.0
苏14-13-12C5,4235245.0,19252148.0,1.0
苏14-4-36H2,4244480.0,19266464.0,
苏14-13-12C6,4235089.0,19252310.0,1.0
苏14-6-52C2,4241861.0,19276052.0,1.0
苏14-6-51,4241954.0,19275998.0,1.0
苏14-0-41C8,4248732.0,19270318.0,0.0
苏14-4-35C8,4244514.0,19266192.0,0.0
苏14-2-51,4245988.0,19275316.0,1.0
苏14-7-32C6,4240774.0,19264530.0,0.0
苏14-4-47C5,4244396.0,19274026.0,2.0
苏14-2-40H1,4246499.16,19269781.39,
苏14-02-34C3,4250513.0,19266434.0,0.0
苏14-1-16C2,4248304.0,19255504.0,0.0
苏14-02-37C4,4251645.0,19268008.0,0.0
苏14-02-40C7,4251736.0,19270024.0,0.0
苏14-2-49A,4245879.0,19275304.0,2.0
苏14-2-46C2,4246186.0,19273124.0,1.0
苏14-4-48,4244319.0,19274102.0,1.0
苏14-2-40C4,4246508.0,19269558.0,2.0
苏14-03-35,4251599.0,19266460.0,1.0
苏14-5-18C4,4243410.0,19256686.0,0.0
苏14-03-12C1,4251581.0,19253074.0,0.0
苏14-4-40C6,4244394.0,19269634.0,1.0
苏14-2-46C4,4246189.0,19273020.0,2.0
苏14-03-32C2,4252186.9,19265074.77,0.0
苏14-4-40C4,4244548.0,19269512.0,1.0
苏14-4-50,4244500.0,19275124.0,0.0
苏14-2-21,4242230.0,19272000.0,1.0
苏14-17-20C7,4231466.0,19257206.0,0.0
苏14-01-37,4249882.0,19268110.0,0.0
苏14-6-52C3,4242036.0,19275940.0,0.0
苏14-13-12C7,4235240.0,19252152.0,1.0
苏14-1-16C4,4248298.0,19255498.0,1.0
苏14-0-41C4,4248725.0,19270312.0,0.0
苏14-2-50,4245889.0,19275306.0,2.0
苏14-02-34C5,4250509.0,19266428.0,1.0
苏14-7-38H2,4240810.0,19267970.0,
苏14-4-41H1,4244465.0,19269658.0,
苏14-6-52C5,4241947.0,19276000.0,2.0
苏14-22-38C5,4226579.0,19268106.0,1.0
苏14-11-09C4,4237220.0,19250142.0,1.0
苏14-2-46C1,4246183.0,19273242.0,0.0
苏14-03-12C5,4251581.0,19253066.0,1.0
苏14-4-17,4244572.0,19255944.0,1.0
苏14-4-21C7,4244186.0,19258360.0,0.0
苏14-4-14C4,4244559.0,19254354.0,1.0
苏14-11-09C2,4237229.0,19250364.0,1.0
苏14-13-32C1,4235110.0,19265058.0,1.0
苏14-13-32C2,4234992.0,19264817.0,1.0
苏14-4-35H2,4244516.0,19266286.0,
苏14-19-46H2,4230675.0,19272836.0,
苏14-0-21C7,4248312.98,19257934.89,0.0
苏14-5-27C3,4234915.29,19264681.74,2.0
苏14-22-38C4,4226831.0,19268216.86,0.0
苏14-2-49H1,4226831.0,19268216.86,
苏14-4-18C1,4244530.84,19256158.14,0.0
苏14-21-41H1,4227533.0,19269910.0,
苏14-14-24,4234454.21,19259626.56,1.0
苏14-4-21C6,4244283.15,19258305.05,1.0
苏14-6-44C11,4242224.08,19272004.82,0.0
苏14-4-47H1,4244758.21,19274032.0,
苏14-7-16,4240516.86,19255354.15,0.0
苏14-4-48H2,4244311.0,19274108.0,
苏14-11-09H1,4237224.0,19250250.0,
苏14-13-33,4234995.39,19264823.72,0.0
苏14-19-46C1,4230783.3,19272958.39,0.0
苏14-13-31A,4234911.31,19264674.68,1.0
苏14-4-18,4244555.32,19256046.87,0.0
苏14-7-16C1,4240496.1,19255448.42,2.0
苏14-5-02,4242669.6,19246195.56,0.0
苏14-18-41H1,4230709.57,19270939.22,
苏14-6-31,4241980.56,19263452.12,0.0
苏14-4-34H1,4244514.0,19266182.0,
苏14-6-52C4,4241853.92,19276056.31,0.0
苏14-6-04,4242048.79,19247893.41,0.0
苏14-15-25,4233358.54,19260577.56,0.0
苏14-2-49C5,4245897.23,19275307.09,1.0
苏14-5-18C2,4243324.75,19256763.65,0.0
苏14-5-18C8,4243404.49,19256690.9,1.0
苏14-4-14C2,4244559.39,19254360.61,2.0
苏14-02-40C3,4251691.15,19270087.04,1.0
苏14-15-26C5,4233464.27,19260669.62,2.0
苏14-14-25,4234408.44,19259725.69,2.0
苏14-13-12H1,4235020.3,19252394.8,
苏14-0-21C6,4248309.91,19257942.42,0.0
苏14-5-27C6,4243412.76,19261555.5,1.0
苏14-16-22,4232465.38,19258885.11,1.0
苏14-7-15,4239860.61,19254001.83,2.0
苏14-14-23,4234450.0,19259634.0,2.0
苏14-4-18C2,4244531.53,19256150.31,0.0
苏14-4-21C5,4244380.63,19258247.36,2.0
苏14-22-38C3,4226742.0,19268176.0,0.0
苏14-21-41C7,4227537.0,19269902.0,1.0
苏14-6-03,4242029.0,19247778.0,1.0
苏14-5-01,4242670.0,19246202.0,0.0
苏14-2-49H2,4245993.0,19275390.0,
苏14-11-09C6,4237224.0,19250258.0,1.0
苏14-19-45H2,4230594.0,19272764.0,
苏14-6-44C8,4242117.0,19272013.0,0.0
苏14-0-21H2,4248476.67,19258156.44,
苏14-2-50H1,4245891.0,19275382.0,
苏14-15-26C6,4233358.81,19260570.06,0.0
苏14-13-12C2,4235017.51,19252387.18,2.0
苏14-6-02,4242047.0,19247886.0,1.0
苏14-02-40C9,4251683.0,19270087.07,0.0
苏14-4-14C3,4244559.0,19254368.0,1.0
苏14-4-17H1,4244571.0,19255952.0,
苏14-16-22C6,4232471.0,19258878.0,1.0
苏14-7-14,4239863.0,19254010.0,1.0
苏14-5-27C8,4243407.0,19261548.0,
苏14-5-28,4243426.0,19261700.0,1.0
苏14-5-0,4242671.0,19246210.0,2.0
苏14-21-41C4,4227449.0,19270054.0,0.0
苏14-2-22H4,4246109.0,19257812.0,
苏14-4-50H2,4244500.0,19275118.0,
苏14-19-46H4,4230778.0,19272952.0,
苏14-11-08H1,4237221.0,19250150.0,
苏14-6-31H1,4242078.0,19263500.0,
苏14-6-44C3,4242124.0,19272008.0,1.0
苏14-4-48H1,4244358.0,19274170.0,
苏14-0-21C4,4248476.0,19258148.0,1.0
苏14-13-33H1,4235168.95,19265152.85,
苏14-0-21H1,4248376.34,19257998.32,
苏14-15-26C4,4233355.0,19260686.0,1.0
苏14-6-12H3,4241938.44,19252822.74,
苏14-13-31H1,4234915.29,19264681.74,
苏14-7-16H3,4240518.0,19255348.0,
苏14-19-47H2,4230313.85,19272955.72,
苏14-19-45H4,4230589.0,19272760.0,
苏14-14-25H2,4234405.0,19259734.0,
苏14-6-03H1,4242028.8,19247786.1,
苏14-4-18H3,4244554.0,19256056.0,
苏14-21-41C3,4227444.0,19270060.0,1.0
苏14-4-18H1,4244530.0,19256166.0,
苏14-4-18H2,4244569.0,19255960.0,
苏14-15-26H1,4233465.0,19260662.0,
苏14-6-12H1,4241994.0,19252904.0,
苏14-7-17H1,4240495.0,19255456.0,
苏14-21-41C2,4227439.86,19270066.22,1.0
苏14-15-26C2,4233474.13,19260562.85,1.0
苏14-5-27H2,4243479.0,19261646.0,
苏14-0-21C5,4248375.0,19258006.0,1.0
苏14-4-47H3,4244351.16,19274176.45,
苏14-4-49H2,4244500.0,19275110.0,
苏14-14-24H1,4234524.0,19259662.0,
苏14-2-22H1,4246108.0,19257820.0,
苏14-11-09C1,4237224.0,19250242.0,1.0
苏14-13-33XH2,4235172.0,19265151.0,
苏14-7-16H1,4240520.0,19255340.0,
苏14-14-24H2,4234447.0,19259641.0,
苏14-15-26C3,4233450.0,19260780.0,1.0
苏14-7-14XH1,4239831.0,19253898.0,
苏14-14-25H1,4234401.0,19259742.0,
苏14-8-30H2,4239800.0,19263960.0,
苏14-19-47H1,4230924.0,19272884.0,
苏14-16-22H1,4232396.0,19258970.0,
苏14-03-24,4251666.0,19259554.0,1.0
苏14-4-49C1,4244500.0,19275096.0,1.0
苏14-01-14,4249738.0,19255342.0,1.0
苏14-8-02,4240083.0,19246730.0,2.0
苏14-5-01H1,4242671.0,19246218.0,
苏14-03-16,4251663.0,19255588.0,0.0
苏14-7-17H4,4240493.0,19255464.0,
苏14-0-10XH1,4248682.92,19251332.02,
苏14-5-28H1,4243422.0,19261694.0,
苏14-17-41XH1,4231800.0,19269882.0,
苏14-7-15XH1,4239833.54,19253914.41,
苏14-19-46XH1,4230918.211,19272877.66,
