日期,井号,层位,气田,采气厂,中东西,区块,自营/合作,集气站,井型,分类,投产日期,投产年份,生产时间,油压,套压,日产气量,月产气量,年产气量,历年产气量,备注
2021/12/31 0:00,桃2-25-9H1,山西组、石盒子组,苏里格气田,采气三厂,中区,桃2区,自营,桃2-4集气站,水平井,Ⅲ类井,2019/10/28,2021,24,1.41,9.15,2.0021,64.5921,581.0898,1343.356,
2021/12/31 0:00,桃2-25-24H1,,苏里格气田,采气三厂,中区,桃2区,自营,桃2-5集气站,水平井,,2021/12/30,2021,24,3.4,24,1.0832,3.2202,3.2202,3.2202,
2021/12/31 0:00,桃2-2-9H1,盒8,苏里格气田,采气三厂,中区,桃2区,自营,桃2-1集气站,水平井,Ⅲ类井,2013/11/30,2021,0,1.24,2.24,0,0,3.4055,1169.8904,计划关井（无气量）：2021-11-02 08:00因无气量(因无气量关井)，关井前油套压2.05/1.73Mpa。
2021/12/31 0:00,桃2-11-6H,盒8,苏里格气田,采气三厂,中区,桃2区,自营,桃2-3集气站,水平井,Ⅲ类井,2011/5/12,2021,0,0.81,3.65,0,0,0.8984,1963.4946,计划关井（无气量）：2021-08-02 08:00因无气量(因无气量关井)，关井前油套压2.45/3.12Mpa。
2021/12/31 0:00,桃2-4-5H1,山1,苏里格气田,采气三厂,中区,桃2区,自营,桃2-1集气站,水平井,Ⅲ类井,2016/8/28,2021,24,1.56,3.6,3.2367,80.2073,705.0233,3473.7345,
2021/12/31 0:00,桃2-16-21H2,石盒子组,苏里格气田,采气三厂,中区,桃2区,自营,桃2-3集气站,水平井,Ⅲ类井,2018/6/23,2021,24,2.29,9.11,1.0169,43.3277,346.1686,1450.1538,速度管柱
2021/12/31 0:00,桃2-16-22H2,石盒子组,苏里格气田,采气三厂,中区,桃2区,自营,桃2-3集气站,水平井,Ⅲ类井,2018/6/23,2021,24,2.72,10.23,1.0372,44.1937,417.8437,1987.6533,速度管柱
2021/12/31 0:00,桃2-1-13H2,盒8下_2,苏里格气田,采气三厂,中区,桃2区,自营,桃2-1集气站,水平井,Ⅲ类井,2015/11/11,2021,0,1.28,21.79,0,0,1.3821,1064.6448,计划关井（生产组织影响）：2021-09-20 10:40因生产组织影响(因集气站检修停产关井)，关井前油套压3/21.
2021/12/31 0:00,桃2-18-12H1,,苏里格气田,采气三厂,中区,桃2区,自营,桃2-3集气站,水平井,,2021/7/8,2021,24,3.09,18.58,5.1318,218.6539,867.9156,867.9156,
2021/12/31 0:00,桃2-4-25H2,石盒子组,苏里格气田,采气三厂,中区,桃2区,自营,桃2-1集气站,水平井,Ⅲ类井,2016/7/29,2021,24,2.12,4,0.5995,16.9346,262.1194,2492.4658,
2021/12/31 0:00,桃2-1-8H1,盒8,苏里格气田,采气三厂,中区,桃2区,自营,桃2-1集气站,水平井,Ⅲ类井,2015/12/9,2021,24,1.57,6.78,0.8992,25.402,253.3433,2581.1133,
2021/12/31 0:00,桃2-6-12H1,盒8下,苏里格气田,采气三厂,中区,桃2区,自营,桃2-1集气站,水平井,Ⅲ类井,2016/3/4,2021,0,1.12,13.31,0,0.4858,6.3259,1326.5855,计划关井（间歇生产）：2021-12-27 11:55因间歇生产(冬关夏开)，关井前油套压1/13.3Mpa。
2021/12/31 0:00,桃2-12-24H,盒8,苏里格气田,采气三厂,中区,桃2区,自营,桃2-2集气站,水平井,Ⅰ类井,2012/9/13,2021,24,1.55,7.64,0.4126,16.922,186.8824,9359.1433,
2021/12/31 0:00,桃2-33-9H1,,苏里格气田,采气三厂,中区,桃2区,自营,桃2-4集气站,水平井,,2021/7/8,2021,24,4.36,24.08,1.3749,5.3461,40.7099,40.7099,
2021/12/31 0:00,桃2-7-32H3,,苏里格气田,采气三厂,中区,桃2区,自营,桃2-2集气站,水平井,,2021/7/19,2021,24,3.86,24.27,3.1736,17.127,98.5662,98.5662,
2021/12/31 0:00,桃2-23-7H2,石盒子组,苏里格气田,采气三厂,中区,桃2区,自营,桃2-4集气站,水平井,Ⅲ类井,2019/12/31,2021,0,2.32,7.74,0,10.4274,407.64,1053.4462,计划关井（关井轮休）：2021-12-05 14:35因关井轮休(作业区通知限产关井)，关井前油套压2.97/8.1Mp
2021/12/31 0:00,桃2-17-29H1,盒8下_2,苏里格气田,采气三厂,中区,桃2区,自营,桃2-3集气站,水平井,Ⅲ类井,2019/4/24,2021,24,2.94,16.25,1.9722,47.7624,201.3809,1381.3254,
2021/12/31 0:00,桃2-33-9H2,,苏里格气田,采气三厂,中区,桃2区,自营,桃2-4集气站,水平井,,2021/7/24,2021,24,4.18,22.99,2.7497,90.6609,207.2808,207.2808,
2021/12/31 0:00,桃2-16-13H1,石盒子组,苏里格气田,采气三厂,中区,桃2区,自营,桃2-3集气站,水平井,Ⅲ类井,2020/1/1,2021,24,1.73,9.71,1.8489,41.7462,119.6129,194.544,
2021/12/31 0:00,桃2-23-7H1,石盒子组,苏里格气田,采气三厂,中区,桃2区,自营,桃2-4集气站,水平井,Ⅱ类井,2019/12/2,2021,0,2.19,17.92,0,22.3969,654.2866,1422.4708,计划关井（关井轮休）：2021-12-05 14:30因关井轮休(作业区通知限产关井)，关井前油套压2.80/16.40
2021/12/31 0:00,桃2-33-9H4,,苏里格气田,采气三厂,中区,桃2区,自营,桃2-4集气站,水平井,,2021/7/16,2021,24,4.23,22.8,3.2997,39.1706,171.5636,171.5636,
2021/12/31 0:00,桃2-14-14H1,石盒子组,苏里格气田,采气三厂,中区,桃2区,自营,桃2-3集气站,水平井,Ⅲ类井,2020/1/1,2021,24,1.79,24.8,0.6656,15.011,49.1089,54.2387,
2021/12/31 0:00,桃2-19-18H1,石盒子组,苏里格气田,采气三厂,中区,桃2区,自营,桃2-2集气站,水平井,Ⅲ类井,2020/1/1,2021,0,1.69,22.04,0,19.1621,199.9057,250.3939,非计划关井（冻堵关井）：2021-12-21 13:30因冻堵关井(高压管线冻堵)，关井前油套压6.69/20.34Mp
2021/12/31 0:00,桃2-15-22H2,石盒子组,苏里格气田,采气三厂,中区,桃2区,自营,桃2-2集气站,水平井,Ⅲ类井,2020/1/1,2021,0,2.57,14.85,0,6.0354,211.7203,316.1837,计划关井（关井轮休）：2021-12-13 14:05因关井轮休(因二净压缩机无法处理限产关井)，关井前油套压5.68/
2021/12/31 0:00,桃2-7-34H1,石盒子组,苏里格气田,采气三厂,中区,桃2区,自营,桃2-2集气站,水平井,Ⅱ类井,2019/12/31,2021,24,3.92,20.86,3.253,10.7731,571.9961,1736.0044,
2021/12/31 0:00,桃2-7-28H1,石盒子组,苏里格气田,采气三厂,中区,桃2区,自营,桃2-2集气站,水平井,Ⅲ类井,2019/12/31,2021,24,3.04,9.97,1.8528,6.1155,403.5274,1218.4819,
2021/12/31 0:00,桃2-17-31H1,石盒子组,苏里格气田,采气三厂,中区,桃2区,自营,桃2-3集气站,水平井,Ⅱ类井,2019/12/31,2021,24,2.65,10.42,1.5653,10.1377,893.3773,2088.7683,
2021/12/31 0:00,桃2-8-30H1,石盒子组,苏里格气田,采气三厂,中区,桃2区,自营,桃2-2集气站,水平井,Ⅲ类井,2019/12/31,2021,24,3.52,11.97,1.0643,3.5009,441.2417,1438.4039,
2021/12/31 0:00,桃2-19-19H2,石盒子组,苏里格气田,采气三厂,中区,桃2区,自营,桃2-2集气站,水平井,Ⅲ类井,2020/1/1,2021,0,3.27,20.46,0,16.7349,95.1686,204.6214,非计划关井（冻堵关井）：2021-12-21 13:40因冻堵关井(高压管线冻堵)，关井前油套压6.61/16.47Mp
2021/12/31 0:00,桃2-23-27H2,石盒子组,苏里格气田,采气三厂,中区,桃2区,自营,桃2-5集气站,水平井,Ⅲ类井,2019/12/31,2021,24,1.08,17.51,0.4021,12.6806,153.6782,426.9199,
2021/12/31 0:00,桃2-25-10XH1,石盒子组,苏里格气田,采气三厂,中区,桃2区,自营,桃2-4集气站,水平井,Ⅲ类井,2019/12/24,2021,24,1.56,10.79,2.0827,67.1923,590.7244,1553.4398,
2021/12/31 0:00,桃2-23-26H1,石盒子组,苏里格气田,采气三厂,中区,桃2区,自营,桃2-5集气站,水平井,Ⅲ类井,2019/12/31,2021,24,1.08,17.29,0.5792,18.2681,206.0035,506.7694,
2021/12/31 0:00,桃2-19-22H1,石盒子组,苏里格气田,采气三厂,中区,桃2区,自营,桃2-2集气站,水平井,Ⅲ类井,2020/1/1,2021,24,11.01,15.38,4.3956,42.1199,171.6033,414.8316,
2021/12/31 0:00,桃2-19-21H1,石盒子组,苏里格气田,采气三厂,中区,桃2区,自营,桃2-2集气站,水平井,Ⅲ类井,2020/1/1,2021,24,11.01,16.26,2.6796,31.9458,457.676,764.9574,
2021/12/31 0:00,桃2-17-31H2,石盒子组,苏里格气田,采气三厂,中区,桃2区,自营,桃2-3集气站,水平井,Ⅲ类井,2019/12/31,2021,24,2.7,18.93,3.2911,21.2874,759.1801,1810.7314,
2021/12/31 0:00,桃2-7-33H2,石盒子组,苏里格气田,采气三厂,中区,桃2区,自营,桃2-2集气站,水平井,Ⅲ类井,2019/12/31,2021,24,4.13,22.34,3.9662,72.4968,633.5916,1777.6312,
2021/12/31 0:00,桃2-8-30H2,石盒子组,苏里格气田,采气三厂,中区,桃2区,自营,桃2-2集气站,水平井,Ⅲ类井,2019/12/31,2021,24,3.57,25.13,0.5394,22.1247,671.4918,1447.4579,
2021/12/31 0:00,桃2-8-20H1,盒8,苏里格气田,采气三厂,中区,桃2区,自营,桃2-1集气站,水平井,Ⅲ类井,2019/7/31,2021,24,1.69,13.41,1.2133,34.2759,430.9045,1280.8498,
2021/12/31 0:00,桃2-22-7CH,石盒子组,苏里格气田,采气三厂,中区,桃2区,自营,桃2-4集气站,水平井,Ⅲ类井,2019/12/24,2021,24,2.16,14.54,2.0127,64.9342,494.428,1116.8113,
2021/12/31 0:00,桃2-23-27H1,石盒子组,苏里格气田,采气三厂,中区,桃2区,自营,桃2-5集气站,水平井,Ⅲ类井,2019/12/31,2021,24,1.07,22.51,0.4502,14.1985,238.6339,716.4213,
2021/12/31 0:00,桃2-23-26H2,石盒子组,苏里格气田,采气三厂,中区,桃2区,自营,桃2-5集气站,水平井,Ⅲ类井,2019/12/31,2021,24,1.07,16.81,0.408,12.8658,155.8114,406.118,
2021/12/31 0:00,桃2-10-34H2,山西组,苏里格气田,采气三厂,中区,桃2区,自营,桃2-2集气站,水平井,Ⅲ类井,2020/5/21,2021,24,6.31,9.54,3.282,35.7685,673.9229,890.0839,
2021/12/31 0:00,桃2-7-29H1,石盒子组,苏里格气田,采气三厂,中区,桃2区,自营,桃2-2集气站,水平井,Ⅲ类井,2019/12/31,2021,24,3.04,14.25,0.8912,2.9512,564.7123,1501.8322,
2021/12/31 0:00,桃2-17-29H2,盒8下_2,苏里格气田,采气三厂,中区,桃2区,自营,桃2-3集气站,水平井,Ⅲ类井,2019/1/3,2021,24,2.63,14.38,1.5613,37.8443,415.5244,1600.012,
2021/12/31 0:00,桃2-17-30H1,盒8下_2,苏里格气田,采气三厂,中区,桃2区,自营,桃2-3集气站,水平井,Ⅲ类井,2018/12/28,2021,24,3.11,12.46,3.0812,64.5003,448.2312,1478.7628,
2021/12/31 0:00,桃2-17-28H2,盒8下,苏里格气田,采气三厂,中区,桃2区,自营,桃2-3集气站,水平井,Ⅲ类井,2018/12/18,2021,0,2.61,17.02,0,44.2294,596.0943,1450.8421,计划关井（关井轮休）：2021-12-24 11:33因关井轮休(作业区通知限产)，关井前油套压2.2/16.58Mpa
2021/12/31 0:00,桃2-23-25H1,石盒子组,苏里格气田,采气三厂,中区,桃2区,自营,桃2-5集气站,水平井,Ⅲ类井,2019/12/31,2021,24,1.08,16.89,0.5383,16.9781,166.9961,425.1957,
2021/12/31 0:00,桃2-10-35H2,石盒子组,苏里格气田,采气三厂,中区,桃2区,自营,桃2-2集气站,水平井,Ⅲ类井,2020/6/4,2021,24,6.31,18.54,3.1091,63.6835,799.7278,1000.158,
2021/12/31 0:00,桃2-7-35H4,,苏里格气田,采气三厂,中区,桃2区,自营,桃2-2集气站,水平井,,2021/5/30,2021,24,3.93,24.32,3.967,72.4048,593.179,593.179,
2021/12/31 0:00,桃2-7-35H2,,苏里格气田,采气三厂,中区,桃2区,自营,桃2-2集气站,水平井,,2021/5/30,2021,24,2.98,24.39,3.1736,47.4158,464.0745,464.0745,
2021/12/31 0:00,桃2-14-8CH,,苏里格气田,采气三厂,中区,桃2区,自营,桃2-3集气站,水平井,,2021/7/20,2021,24,1.04,16.59,3.0816,5.4314,44.3953,44.3953,
2021/12/31 0:00,桃2-5-1CH,,苏里格气田,采气三厂,中区,桃2区,自营,桃2-1集气站,水平井,,2021/9/4,2021,0,10.22,12.05,0,0,105.9114,105.9114,计划关井（动态监测）：2021-10-24 08:00因动态监测(因试气不点火结束压力恢复关井)，关井前油套压10.47
2021/12/31 0:00,桃2-1-19H1,石盒子组,苏里格气田,采气三厂,中区,桃2区,自营,桃2-1集气站,水平井,Ⅲ类井,2020/7/17,2021,21.17,0.13,18.87,7.9316,7.9316,1060.0324,1577.1441,计划关井（关井轮休）：2021-06-17 13:10-2021-12-30 10:50因关井轮休（因公司调峰井压力恢复
2021/12/31 0:00,桃2-32-7H2,,苏里格气田,采气三厂,中区,桃2区,自营,桃2-4集气站,水平井,,2021/9/27,2021,0,21.1,22.65,0,0,21.9176,21.9176,计划关井（动态监测）：2021-10-14 08:00因动态监测(因试气不点火压力恢复结束关井)，关井前油套压21.20
2021/12/31 0:00,桃2-28-5H2,,苏里格气田,采气三厂,中区,桃2区,自营,桃2-4集气站,水平井,,2021/12/1,2021,0,24.5,25,0,29.6253,29.6253,29.6253,计划关井（动态监测）：2021-12-17 12:00因动态监测(因试气不点火结束压力恢复关井)，关井前油套压7/7.5
2021/12/31 0:00,桃2-18-11H1,,苏里格气田,采气三厂,中区,桃2区,自营,桃2-3集气站,水平井,,2021/12/29,2021,24,3.19,19.43,4.1087,12.1253,12.1253,12.1253,
2021/12/31 0:00,桃2-24-23H1,,苏里格气田,采气三厂,中区,桃2区,自营,桃2-5集气站,水平井,,2021/12/30,2021,24,3.4,23.12,0.6499,1.9212,1.9212,1.9212,
2021/12/31 0:00,桃2-17-30H2,盒8下_2,苏里格气田,采气三厂,中区,桃2区,自营,桃2-3集气站,水平井,Ⅲ类井,2019/1/1,2021,24,3.47,17.46,2.8474,59.575,487.5252,1469.293,
2021/12/31 0:00,桃2-17-28H1,盒8下_2,苏里格气田,采气三厂,中区,桃2区,自营,桃2-3集气站,水平井,Ⅲ类井,2018/12/17,2021,24,2.63,20.27,3.0606,64.1769,856.831,2163.2981,
2021/12/31 0:00,桃2-10-35H1,山西组,苏里格气田,采气三厂,中区,桃2区,自营,桃2-2集气站,水平井,Ⅱ类井,2020/6/7,2021,24,6.31,14.39,3.472,70.8163,812.0837,1094.0864,
2021/12/31 0:00,桃2-19-22H4,山西组,苏里格气田,采气三厂,中区,桃2区,自营,桃2-2集气站,水平井,Ⅱ类井,2020/6/10,2021,0,19.97,20.09,0,4.7843,590.8465,892.6714,非计划关井（冻堵关井）：2021-12-15 14:02因冻堵关井(高压管线冻堵)，关井前油套压19.7/19.80Mp
2021/12/31 0:00,桃2-13-7H2,石盒子组,苏里格气田,采气三厂,中区,桃2区,自营,桃2-3集气站,水平井,Ⅲ类井,2020/9/3,2021,24,2.03,20.68,4.9305,111.4309,842.4256,1301.5602,
2021/12/31 0:00,桃2-7-30H1,,苏里格气田,采气三厂,中区,桃2区,自营,桃2-2集气站,水平井,,2021/9/30,2021,24,3.87,20.82,7.5155,226.9174,308.2512,308.2516,
2021/12/31 0:00,桃2-24-19H2,,苏里格气田,采气三厂,中区,桃2区,自营,桃2-5集气站,水平井,,2021/10/31,2021,1.17,24.54,25.85,0.1385,5.2803,69.7166,69.7166,非计划关井（冻堵关井）：2021-12-29 18:50-2021-12-30 11:50因冻堵关井（高压管线冻堵），关
2021/12/31 0:00,桃2-33-10H3,,苏里格气田,采气三厂,中区,桃2区,自营,桃2-4集气站,水平井,,2021/7/10,2021,24,4.17,25.85,2.1998,11.5894,94.6644,94.6644,
2021/12/31 0:00,桃2-7-31H2,石盒子组,苏里格气田,采气三厂,中区,桃2区,自营,桃2-2集气站,水平井,Ⅲ类井,2020/9/4,2021,24,3.86,23.62,3.967,79.1985,191.5486,312.3187,
2021/12/31 0:00,桃2-24-19H1,,苏里格气田,采气三厂,中区,桃2区,自营,桃2-5集气站,水平井,,2021/9/19,2021,1.17,24.57,25.12,0.1108,4.2243,135.1918,135.1918,非计划关井（冻堵关井）：2021-12-29 18:50-2021-12-30 11:50因冻堵关井（高压管线冻堵），关
2021/12/31 0:00,桃2-19-27H2,盒8下_2,苏里格气田,采气三厂,中区,桃2区,自营,桃2-3集气站,水平井,Ⅲ类井,2019/7/28,2021,0,2.43,17.07,0,0,560.6887,1501.9585,计划关井（关井轮休）：2021-07-02 10:30因关井轮休(因调峰井压力恢复关井)，关井前油套压1.98/14.5
2021/12/31 0:00,桃2-6-12H,盒8下,苏里格气田,采气三厂,中区,桃2区,自营,桃2-1集气站,水平井,Ⅱ类井,2010/12/9,2021,24,1.32,7.07,0.2598,17.0122,75.449,5424.2786,
2021/12/31 0:00,桃2-2-19H1,盒8,苏里格气田,采气三厂,中区,桃2区,自营,桃2-1集气站,水平井,Ⅱ类井,2011/1/8,2021,0,1.18,1.28,0,0,24.9826,6756.2434,计划关井（生产组织影响）：2021-09-20 09:00因生产组织影响(因集气站检修停产关井)，关井前油套压2.75/
2021/12/31 0:00,桃2-1-6H1,盒8,苏里格气田,采气三厂,中区,桃2区,自营,桃2-1集气站,水平井,Ⅱ类井,2012/12/16,2021,24,3.81,5.87,2.0382,57.579,402.9074,6122.7969,
2021/12/31 0:00,桃2-9-6H,盒8,苏里格气田,采气三厂,中区,桃2区,自营,桃2-3集气站,水平井,Ⅲ类井,2012/9/25,2021,0,2.81,1.8,0,0,5.7775,2762.5509,计划关井（无气量）：2021-08-02 08:00因无气量(因无气量关井)，关井前油套压2.33/1.55Mpa。
2021/12/31 0:00,桃2-12-27H,盒8,苏里格气田,采气三厂,中区,桃2区,自营,桃2-2集气站,水平井,Ⅰ类井,2010/11/24,2021,24,1.56,0.72,0.2698,11.0648,118.1814,10375.5854,速度管柱
2021/12/31 0:00,桃2-1-24H,盒8,苏里格气田,采气三厂,中区,桃2区,自营,桃2-1集气站,水平井,Ⅱ类井,2012/8/31,2021,24,2.08,6.91,0.6994,19.7571,179.3739,5692.5599,
2021/12/31 0:00,桃2-1-6H2,盒8,苏里格气田,采气三厂,中区,桃2区,自营,桃2-1集气站,水平井,Ⅱ类井,2012/12/18,2021,24,2,5.5,1.099,31.0473,211.6643,8769.9789,
2021/12/31 0:00,桃2-11-28H,盒8,苏里格气田,采气三厂,中区,桃2区,自营,桃2-2集气站,水平井,Ⅱ类井,2011/12/6,2021,24,2.01,9.37,0.6823,27.9874,326.9591,6243.3878,速度管柱
2021/12/31 0:00,桃2-3-6H2,盒8下,苏里格气田,采气三厂,中区,桃2区,自营,桃2-1集气站,水平井,Ⅲ类井,2013/6/25,2021,24,1.43,4.09,0.8193,23.144,166.1665,2819.8517,
2021/12/31 0:00,桃2-1-23H1,盒8下,苏里格气田,采气三厂,中区,桃2区,自营,桃2-1集气站,水平井,Ⅲ类井,2013/11/30,2021,24,4.04,5.23,0.3197,9.032,77.7509,3081.6573,
2021/12/31 0:00,桃2-15-14H,盒8,苏里格气田,采气三厂,中区,桃2区,自营,桃2-3集气站,水平井,Ⅱ类井,2012/9/11,2021,0,1.76,7.66,0,0,102.2855,7621.801,计划关井（生产组织影响）：2021-10-04 09:00因生产组织影响(因站内动火关井)，关井前油套压2.59/6.6
2021/12/31 0:00,桃2-1-23H3,盒8,苏里格气田,采气三厂,中区,桃2区,自营,桃2-1集气站,水平井,Ⅱ类井,2014/1/4,2021,24,1.55,6.36,0.5995,16.9346,394.8316,5375.6232,
2021/12/31 0:00,桃2-17-23H1,盒8,苏里格气田,采气三厂,中区,桃2区,自营,桃2-3集气站,水平井,Ⅱ类井,2015/2/6,2021,24,2.45,5.56,0.8554,36.4472,334.9269,6614.3339,
2021/12/31 0:00,桃2-17-25H2,盒8,苏里格气田,采气三厂,中区,桃2区,自营,桃2-3集气站,水平井,Ⅱ类井,2015/2/9,2021,24,2.42,5.69,0.6369,27.1339,218.9133,7760.551,
2021/12/31 0:00,桃2-4-7H,盒8,苏里格气田,采气三厂,中区,桃2区,自营,桃2-1集气站,水平井,Ⅱ类井,2011/1/2,2021,0,2.99,6.08,0,1.4436,23.1923,5122.6673,计划关井（间歇生产）：2021-12-27 11:05因间歇生产(冬关夏开)，关井前油套压2.56/6.05Mpa。
2021/12/31 0:00,桃2-10-7H2,盒8,苏里格气田,采气三厂,中区,桃2区,自营,桃2-3集气站,水平井,Ⅱ类井,2014/10/22,2021,0,1.48,9.05,0,0,89.6902,4201.138,计划关井（生产组织影响）：2021-10-04 10:20因生产组织影响(因站内动火关井)，关井前油套压2.67/8.2
2021/12/31 0:00,桃2-1-24H1,盒8,苏里格气田,采气三厂,中区,桃2区,自营,桃2-1集气站,水平井,Ⅰ类井,2013/11/19,2021,24,1.77,5.71,1.1589,32.7409,795.3103,9742.7505,
2021/12/31 0:00,桃2-6-1H,盒8,苏里格气田,采气三厂,中区,桃2区,自营,桃2-1集气站,水平井,Ⅱ类井,2011/12/7,2021,24,1.85,5.91,5.8645,165.677,828.389,9193.0391,
2021/12/31 0:00,桃2-7-4H2,盒8,苏里格气田,采气三厂,中区,桃2区,自营,桃2-1集气站,水平井,Ⅱ类井,2014/8/13,2021,0,1.64,8.99,0,0,44.5986,5241.1202,计划关井（生产组织影响）：2021-08-14 08:20因生产组织影响(因干管动火关井)，关井前油套压1.4/8.45
2021/12/31 0:00,桃2-17-24H1,盒8,苏里格气田,采气三厂,中区,桃2区,自营,桃2-3集气站,水平井,Ⅱ类井,2015/2/6,2021,24,2.45,6.78,0.8628,36.763,290.0919,7415.1272,
2021/12/31 0:00,桃2-6-13H2,盒8,苏里格气田,采气三厂,中区,桃2区,自营,桃2-1集气站,水平井,Ⅲ类井,2012/12/22,2021,24,1.36,6.67,0.2198,6.2092,50.1862,3589.5259,
2021/12/31 0:00,桃2-4-8H2,盒8,苏里格气田,采气三厂,中区,桃2区,自营,桃2-1集气站,水平井,Ⅲ类井,2012/12/19,2021,0,6.65,7.6,0,0,4.6989,3492.1136,计划关井（无气量）：2021-08-02 08:00因无气量(因无气量关井)，关井前油套压2.4/2.72Mpa。
2021/12/31 0:00,桃2-17-23H2,盒8,苏里格气田,采气三厂,中区,桃2区,自营,桃2-3集气站,水平井,Ⅱ类井,2015/2/6,2021,24,1.79,7.66,0.452,19.2562,137.5716,4789.5897,
2021/12/31 0:00,桃2-6-5H1,盒8,苏里格气田,采气三厂,中区,桃2区,自营,桃2-1集气站,水平井,Ⅱ类井,2015/9/29,2021,24,1.5,6.07,4.8004,122.4061,776.1677,5855.2972,
2021/12/31 0:00,桃2-3-23H2,盒8下_2,苏里格气田,采气三厂,中区,桃2区,自营,桃2-1集气站,水平井,Ⅲ类井,2014/11/27,2021,24,1.67,9.87,4.5703,128.0783,600.5924,3601.5294,
2021/12/31 0:00,桃2-3-8H1,盒8,苏里格气田,采气三厂,中区,桃2区,自营,桃2-1集气站,水平井,Ⅰ类井,2012/12/14,2021,20.83,1.46,5.2,2.1331,2.1331,360.4319,9535.738,计划关井（生产组织影响）：2021-09-20 09:45-2021-12-30 11:10因生产组织影响（因集气站检修
2021/12/31 0:00,桃2-16-14H1,盒8,苏里格气田,采气三厂,中区,桃2区,自营,桃2-3集气站,水平井,Ⅲ类井,2013/11/4,2021,0,1.56,7.14,0,0,50.873,3371.7092,计划关井（生产组织影响）：2021-10-04 09:10因生产组织影响(因站内动火关井)，关井前油套压2.58/6.6
